[-437.0332701197487, -211.5406626477934]
[-431.99976402785273, -217.33484291466897]
[-445.0391237874661, -228.5313421420435]
[-462.99557541359127, -232.00780466345444]
[-671.1238886258495, -200.87179959106436]
[-641.9610348859334, -208.5464942565634]
[-736.5836739137783, -204.39560824958485]
[-445.3889232513259, -250.23761425898405]
[-424.0155782538865, -240.02099988555722]
[-428.97685593741846, -241.60145611503324]
[-434.07681834433686, -249.24231890150045]
[-437.5801354858955, -248.9991184193956]
[-432.14018266572714, -247.68991300919444]
[-436.0495148472252, -246.59313697129352]
[-430.21752360600004, -242.86384345799527]
[-453.0238438421193, -250.14955518940496]
[-440.10856255517643, -244.90941880599343]
[-417.685606008833, -248.57115822223105]
[-382.4065677640311, -225.1819093709468]
[-384.10359199757136, -226.07246256437782]
[-386.66432398943334, -226.91293028145486]
[-379.2629269394366, -217.42332687214545]
[-378.8669970346005, -213.62469231387945]
[-444.00376122777715, -216.40088316344392]
[-514.3656292588371, -123.12958535341392]
[-361.6559783589939, -209.23210212103146]
[-339.2107977111932, -198.17533810561093]
[-406.1556184806267, -247.82757425267053]
[-406.45019463880413, -255.63068223745867]
[-407.5323781041698, -257.97966538818736]
[-405.33855796212754, -258.33246476768346]
[-413.3397025771737, -264.07154076001177]
[-393.3468469657362, -269.5225955642529]
[-411.34000559236284, -279.42774091123516]
[-403.04245480785755, -279.6969448090894]
[-396.97854159579373, -292.16571884646726]
[-408.15891694468155, -303.02509188423517]
[-416.051268214239, -306.34436249020104]
[-420.63081230729864, -318.09910731220026]
[-395.37476710915536, -309.464065976646]
[-389.8571125102641, -308.21364204905046]
[-394.11809774185855, -317.05631862899946]
[-394.91021440279354, -323.7484501992198]
[-403.2663212635983, -340.9753800567044]
[-404.25217415871305, -349.7787698439511]
[-415.8005851219722, -366.9876236310269]
[-393.1550881703996, -360.2333252172473]
[-399.34442187481324, -352.68200821924665]
[-404.7471613223184, -326.71173183309674]
[-368.8181790650115, -315.3590185678111]
[-366.6824004379966, -324.25956720012005]
[-376.88545983476473, -340.74689671488744]
[-318.69782177633994, -374.3849529192501]
[-361.3474742049432, -391.5293107368209]
[-388.9962502064734, -380.67602720304853]
[-415.12823110362217, -420.9833290960893]
[-415.6321947808069, -430.5286299255806]
[-425.77097135038304, -461.1455521834387]
[-424.1506405673304, -464.2572352286412]
[-423.2788186440157, -465.677535369923]
[-409.8339370858174, -487.9043046919082]
[-415.33824800011274, -509.2497458187496]
[-486.2505462668846, -526.149280112812]
[-446.5554057539804, -514.8451217339597]
[-517.6058938653347, -635.4786699917622]
